"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y802";"Crystal_SMD_ABM11W_4_D1X_T_-4pin_2.0x1.6mm";1;"24MHz";;;
2;"P107";"PJ_320_D";1;"HEADPHONE";;;
3;"J801";"SolderWirePad_2x_0,8";1;"TEST_2P";;;
4;"P103";"SolderWirePad_2x_0,8";1;"LIPO";;;
5;"P104";"SolderWirePad_2x_0,8";1;"DC";;;
6;"X101";"SolderWirePad_2x_0,8";1;"ANT_GPS";;;
7;"X102";"SolderWirePad_2x_0,8";1;"ANT_GSM";;;
8;"U505";"SIM";1;"SIM_SLOT";;;
9;"SW702";"Foil_Button";1;"C";;;
10;"SW703";"Foil_Button";1;"1";;;
11;"SW704";"Foil_Button";1;"4ghi";;;
12;"SW705";"Foil_Button";1;"7pqrs";;;
13;"SW706";"Foil_Button";1;"-";;;
14;"SW707";"Foil_Button";1;"2abc";;;
15;"SW708";"Foil_Button";1;"5jkl";;;
16;"SW709";"Foil_Button";1;"8tuv";;;
17;"SW710";"Foil_Button";1;"UP";;;
18;"SW711";"Foil_Button";1;"3def";;;
19;"SW712";"Foil_Button";1;"6mno";;;
20;"SW713";"Foil_Button";1;"9wxyz";;;
21;"SW714";"Foil_Button";1;"*+";;;
22;"SW715";"Foil_Button";1;"DOWN";;;
23;"SW716";"Foil_Button";1;"0space";;;
24;"SW717";"Foil_Button";1;"#up";;;
25;"TP101,TP201,TP202,TP203,TP204,TP205,TP206,TP301,TP501,TP102,TP103,TP104,TP105,TP106,TP107,TP108,TP109,TP110,TP111,TP112,TP114";"TP";21;"TP";;;
26;"P801";"Pin_Header_Straight_2x05_Pitch1.27mm";1;"JTAG";;;
27;"SW701";"TS-015A";1;"SW_PUSH";;;
28;"U404,U405";"MP34DT01_NoGroundRing";2;"MP34DT01TR";;;
29;"U202";"TPS6274x";1;"TPS62742";;;
30;"U203";"Texas_S-PVSON-N8_NoThermalVias";1;"TPS61021A";;;
31;"R807,R215,R323,R701,R802,R803,R804,R805,R205";"R_0402_NoSilk";9;"10k";;;
32;"U504";"A7";1;"A7";;;
33;"U1301";"LGA-24L_3x3.5mm_Pitch0.43mm";1;"LSM9DS1";;;
34;"D701,D702,D703,D704,D705,D706";"LED_0603";6;"LED";;;
35;"P108";"Rumble_Pads";1;"RUMBLE";;;
36;"P101";"USB_Micro-B_10103594-0001LF";1;"USB_OTG";;;
37;"P301";"FFC-05-35";1;"SEPS525";;;
38;"U601";"ESP-12E";1;"ESP-12E";;;
39;"C306,C307,C206,C207,C215,C301,C302,C401,C403,C408,C409,C410,C414,C415,C419,C420,C501,C503,C601,C805,C808,C809,C810,C811,C812,C813,C814,C1309,C421,C423";"C_0402_NoSilk";30;"100n";;;
40;"C202,C203";"C_0603";2;"10u";;;
41;"C204,C504,C505,C506,C507";"C_0402_NoSilk";5;"C";;;
42;"C209,C210";"C_0402_NoSilk";2;"1n";;;
43;"C219,C801,C802,C803,C804";"C_0402_NoSilk";5;"22p";;;
44;"C220,C305,C815";"C_0402_NoSilk";3;"1u";;;
45;"C303";"C_0402_NoSilk";1;"4u7C";;;
46;"C304";"C_0402_NoSilk";1;"10p";;;
47;"C402,C407,C1308";"C_0402_NoSilk";3;"10n";;;
48;"C404,C405,C406";"C_0402_NoSilk";3;"470n";;;
49;"C411";"C_0402_NoSilk";1;"4u7";;;
50;"C412,C413,C416,C417";"C_0402_NoSilk";4;"10u";;;
51;"C418,C422";"C_0402_NoSilk";2;"22u";;;
52;"C502";"C_0603";1;"470u";;;
53;"C806,C807";"C_0402_NoSilk";2;"2u2";;;
54;"FB402";"Choke_SMD_1206_Standard";1;"FILTER";;;
55;"L201";"Choke_SMD_1206_Standard";1;"4u7 / 3A";;;
56;"L202";"Choke_SMD_1206_Standard";1;"2u2";;;
57;"L303";"Choke_SMD_1206_Standard";1;"18u";;;
58;"Q501,Q701";"SOT-23";2;"MMBF170";;;
59;"R101,R503,R504,R601,R801,R806,R403,R404";"R_0402_NoSilk";8;"0";;;
60;"R201,R202,R203,R204,R207,R208,R217,R218";"R_0402_NoSilk";8;"R";;;
61;"R301";"R_0402_NoSilk";1;"2M2";;;
62;"R302";"R_0402_NoSilk";1;"162k";;;
63;"R303";"R_0402_NoSilk";1;"68k";;;
64;"R304";"R_0402_NoSilk";1;"5k1";;;
65;"R305,R306,R307,R310,R311";"R_0402_NoSilk";5;"560";;;
