WL1807MOD

Pin,Name,Type,unit
8,WL_SDIO_CLK_1V8,in,WLAN
36,EXT_32K,in,PWR
40,WLAN_EN,in,WLAN
41,BT_EN,in,BT
38,VIO_IN,power_in,PWR
46,VBAT_IN,power_in,PWR
47,VBAT_IN,power_in,PWR
2,GPIO11,bidir,RESERVED
3,GPIO9,bidir,RESERVED
4,GPIO10,bidir,RESERVED
5,GPIO12,bidir,RESERVED
21,RESERVED1,in,RESERVED
22,RESERVED2,in,RESERVED
25,GPIO4,bidir,RESERVED
62,RESERVED3,out,RESERVED
64,RESERVED,power_in,RESERVED
6,WL_SDIO_CMD_1V8,bidir,WLAN
10,WL_SDIO_D0_1V8,bidir,WLAN
11,WL_SDIO_D1_1V8,bidir,WLAN
12,WL_DSIO_D2_1V8,bidir,WLAN
13,WL_SDIO_D3_1V8,bidir,WLAN
14,W_IRG_1V8,out,WLAN
18,RF_ANT2,bidir,WLAN
26,GPIO2,bidir,WLAN
27,GPIO1,bidir,WLAN
32,RF_ANT1,bidir,WLAN
42,WL_UART_DBG,out,WLAN
43,BT_UART_DBG,out,BT
50,BT_HCI_RTS_1V8,out,BT
51,BT_HCI_CTS_1V8,in,BT
52,BT_HCI_TX_1V8,out,BT
53,BT_HCI_RX_1V8,in,BT
56,BT_AUD_IN,in,BT
57,BT_AUD_OUT,out,BT
58,BT_AUD_FSYNC,bidir,BT
60,BT_AUD_CLK,bidir,BT
1,GND,power_in,PWR
7,GND,power_in,PWR
9,GND,power_in,PWR
15,GND,power_in,PWR
16,GND,power_in,PWR
17,GND,power_in,PWR
19,GND,power_in,PWR
20,GND,power_in,PWR
23,GND,power_in,PWR
24,GND,power_in,PWR
28,GND,power_in,PWR
29,GND,power_in,PWR
30,GND,power_in,PWR
31,GND,power_in,PWR
33,GND,power_in,PWR
34,GND,power_in,PWR
35,GND,power_in,PWR
37,GND,power_in,PWR
39,GND,power_in,PWR
44,GND,power_in,PWR
45,GND,power_in,PWR
48,GND,power_in,PWR
49,GND,power_in,PWR
54,GND,power_in,PWR
55,GND,power_in,PWR
59,GND,power_in,PWR
61,GND,power_in,PWR
63,GND,power_in,PWR
